,count,lat,long,pop,pop/ex
147,26.0,14.5692,121.1325,319104.0,12273.23076923077
148,7.0,6.3667,124.7333,84539.0,12077.0
149,2.0,18.0667,121.65,56661.0,28330.5
150,7.0,8.7143,125.7481,103202.0,14743.142857142857
151,2.0,8.4488,125.7869,38374.0,19187.0
152,51.0,6.1167,125.1667,594446.0,11655.803921568628
153,6.0,9.0667,126.1833,56364.0,9394.0
154,21.0,6.5,124.85,174942.0,8330.57142857143
155,4.0,5.8167,125.2,118263.0,29565.75
156,9.0,18.0554,120.5649,55201.0,6133.444444444444
157,9.0,7.1917,124.5333,151684.0,16853.777777777777
158,2.0,6.7154,124.7854,50008.0,25004.0
159,7.0,14.2667,121.45,42164.0,6023.428571428572
160,3.0,5.9833,124.6167,61058.0,20352.666666666668
161,1.0,14.7167,121.95,30582.0,30582.0
162,19.0,14.2833,120.8667,155713.0,8195.421052631578
163,3.0,13.3561,123.3639,52137.0,17379.0
164,12.0,14.4972,121.2864,117830.0,9819.166666666666
165,13.0,7.0083,125.0894,140195.0,10784.23076923077
166,1.0,10.4,125.2,29976.0,29976.0
167,19.0,6.75,125.35,169393.0,8915.421052631578
168,7.0,7.1167,124.8167,89161.0,12737.285714285714
169,7.0,7.6078,125.9664,82234.0,11747.714285714286
170,34.0,12.3528,121.0676,143430.0,4218.529411764706
171,2.0,7.3333,126.5667,40379.0,20189.5
172,12.0,8.1575,125.1278,174625.0,14552.083333333334
173,2.0,7.7833,126.45,40704.0,20352.0
174,3.0,10.9525,125.0317,47300.0,15766.666666666666
175,3.0,7.5667,124.9833,39612.0,13204.0
176,4.0,13.7667,122.9833,64855.0,16213.75
177,7.0,13.35,122.5167,61473.0,8781.857142857143
178,2.0,7.6404,124.7257,45862.0,22931.0
179,4.0,6.8981,126.0096,65785.0,16446.25
180,20.0,13.1333,123.7333,196639.0,9831.95
181,20.0,8.2333,124.25,342618.0,17130.9
182,4.0,7.7667,125.0,102089.0,25522.25
183,11.0,13.3667,121.2,133893.0,12172.09090909091
184,1.0,17.65,121.6833,82502.0,82502.0
185,15.0,8.5667,123.3333,130759.0,8717.266666666666
186,3.0,6.3,124.7833,83989.0,27996.333333333332
187,4.0,8.0833,123.4833,52006.0,13001.5
188,4.0,8.1167,122.6667,39812.0,9953.0
189,14.0,7.8333,123.4333,199060.0,14218.57142857143
190,16.0,11.7,122.3667,80605.0,5037.8125
191,3.0,11.4272,122.056,41228.0,13742.666666666666
192,4.0,7.9667,123.75,67727.0,16931.75
193,3.0,6.4,125.6,117746.0,39248.666666666664
194,9.0,10.3833,124.9833,44986.0,4998.444444444444
195,6.0,7.7833,122.5833,74656.0,12442.666666666666
196,8.0,13.9311,121.4233,117434.0,14679.25
197,10.0,8.15,123.85,141828.0,14182.8
198,2.0,15.6321,121.1448,64173.0,32086.5
199,1.0,7.75,123.15,28469.0,28469.0
200,1.0,9.9715,123.4047,15160.0,15160.0
201,10.0,15.3075,120.9453,110303.0,11030.3
202,15.0,11.0167,124.6167,215031.0,14335.4
203,28.0,11.2444,125.0039,242089.0,8646.035714285714
204,3.0,7.3744,124.2686,89194.0,29731.333333333332
205,1.0,10.0333,124.0667,45880.0,45880.0
206,2.0,6.8647,124.4417,31692.0,15846.0
207,23.0,7.4478,125.8078,259444.0,11280.173913043478
208,4.0,8.0459,126.0614,51565.0,12891.25
209,8.0,10.8,122.9667,126930.0,15866.25
210,8.0,11.7833,124.8833,103879.0,12984.875
211,2.0,18.3333,120.6167,28980.0,14490.0
212,3.0,6.65,122.1333,74782.0,24927.333333333332
213,2.0,18.4,121.5167,34299.0,17149.5
214,2.0,10.1167,123.5333,73862.0,36931.0
215,15.0,16.6833,121.55,134830.0,8988.666666666666
216,2.0,6.55,124.6667,46642.0,23321.0
217,2.0,10.4667,122.8333,37833.0,18916.5
218,6.0,16.4833,121.15,61512.0,10252.0
219,5.0,10.8333,123.5,94070.0,18814.0
220,4.0,6.05,121.0,125564.0,31391.0
221,5.0,7.7968,122.7627,44336.0,8867.2
222,5.0,13.5833,123.3,89545.0,17909.0
223,6.0,6.3333,124.95,69976.0,11662.666666666666
224,4.0,5.0292,119.7731,100527.0,25131.75
225,3.0,20.45,121.9667,8579.0,2859.6666666666665
226,5.0,13.5917,122.325,71073.0,14214.6
227,16.0,17.1333,121.8833,145568.0,9098.0
228,7.0,17.5965,120.6179,48163.0,6880.428571428572
229,11.0,6.6833,124.6667,98316.0,8937.818181818182
230,13.0,14.5234,121.1536,113283.0,8714.076923076924
231,4.0,14.9,120.7167,57063.0,14265.75
232,9.0,10.245,123.7964,132135.0,14681.666666666666
233,8.0,16.0167,120.3667,95154.0,11894.25
234,6.0,14.8139,121.0453,574089.0,95681.5
